name,camera_quality,ip_rating,battery_life,performance,price
Samsung Galaxy S24 Ultra,10,8,5,10,336000
Google Pixel 7a,9,7,5,7,149000
Oppo Reno 8,8,6,5,7,104900
Tecno Camon 20 Pro,6,4,6,4,64900
Samsung A14,5,1,5,4,49900
Vivo Y27,5,4,5,4,49900
Realme C55,5,4,5,4,44900
Xiaomi Redmi 13,4,1,5,4,42000
Tecno Spark 10 Pro,4,1,5,4,34999
Itel S23,4,1,5,4,32999
Infinix Hot 30,4,1,5,4,29999
Infinix Hot 30i,4,1,5,4,25999
Oppo A78,4,1,5,4,54900
Oppo A98,4,1,5,4,45900
Xiaomi Redmi Note 12,5,1,5,5,59900
ASUS ROG Phone 7,8,1,5,10,280000
Realme GT Neo 3,7,1,5,9,109900
OnePlus Nord CE 3,6,1,5,8,89900
POCO X5 Pro,6,1,5,7,84000
Infinix Note 30 Pro,6,1,7,6,69900
Samsung M34,6,1,7,5,70000
Motorola Moto G Power,5,1,6,5,61600
Tecno Pova 5,5,1,7,5,50400
Itel P70,5,1,10,4,27400
Itel City100,4,1,8,4,26400
Tecno Spark 6,3,1,7,4,38000
Tecno Spark 6 Go,3,1,7,4,33000
CAT S62 Pro,5,8,6,5,168000
Doogee S98 Pro,5,8,7,5,112000
Nokia X30,7,8,6,6,89900
Blackview BV8800,5,8,7,5,84900
